#sequence-name	taxid	genus-species
d2476896d93f6421344728c2a6862308_54	0	Saitoella complicata
78ff9de79644a89b1d1428a45daa76db_50	0	
fd33be97d11b0bc6f6e857e6796d0cc2_49	0	Alternaria alternata
05592006567c66475359807959141299_47	0	
19be8e6e02f3b4c3eae15fadbd4eee65_45	0	
cdea402dc34eaa4b9c795c55b6bb88b0_45	0	Saitoella complicata
98850694d9fa62e6e4a03b9663f01e24_44	0	Naganishia albida
3ea152bda2525d36797725e84e593b71_44	0	Saitoella complicata
c6a96abbc541390f7daf0b0e6da27b34_43	0	
b1b1750431e453aed0a7ba2d8ef948f3_41	0	
46ec9657fafed6003c64dda34bc78955_40	0	Alternaria alternata
35a4dc22ade03f7f0c4dc7251c82e4aa_40	0	Saitoella complicata
938221a10fc702d6ac43c09a527d2e96_38	0	Saitoella complicata
ae7e5798964b4097bebdcd201bde3eb5_36	0	Saitoella complicata
3a737e8481099f4507d8e8a6a695e0f2_35	0	
db5ca69f7897e14fb3d23c3a7c940358_34	0	Naganishia albida
daadc4126b5747c43511bd3be0ea2438_34	0	
e1723f72df05970e6e651f0889bd9924_33	0	Naganishia albida
348946dc06adc977d7695a40bc185ed7_33	0	Claviceps purpurea
80713636f4ab28c276b674c76667ea07_33	0	Claviceps purpurea
e503440ad549e41a872969c40d9afeb1_32	0	
b74c35875cdc502996231321faca01bc_32	0	
9bc21b584d669693763826dd887d3486_32	0	Rhizophagus irregularis
b9acbe90d4d9af393cb2d9fd5d534655_32	0	Saitoella complicata
cef43e39680ae421d1f1bf0e592fb41e_31	0	Candida apicola
cec33afc40a0257e4bff3109f3b2f069_31	0	Saitoella complicata
b5145719a7eda6a198881a97367aa232_30	0	Trichoderma reesei
2bd2789168d6d4799b70d0f0a6c4e56d_30	0	Rhizoctonia solani
77478410552c69ad2084bcc3397e177f_29	0	Saitoella complicata
327c28570c3dfa42fdd01eee025433e8_29	0	Naganishia albida
cd5b7cec36eda8dad42d49d07a6705c9_29	0	Fusarium oxysporum
850eeb2138ad79b6a728b6c0ca75d819_29	0	Rhizophagus irregularis
b6634101c86b1dde7b72a51f510e2efb_29	0	Saitoella complicata
4a8bda27dfec9a33b5945b9ae04d3307_29	0	Saitoella complicata
eb7ee2ccdb5ea6fde7d34eb8de953d16_28	0	Claviceps purpurea
8c3d2c0ea00c4bb020587c60277d6746_28	0	Saitoella complicata
cd0edd62ad7c910a777557844e41bec3_27	0	
f4275f0844f521da8cb6483160397b22_27	0	Saitoella complicata
6bfc972e9babfc6636969c6a22ee12c3_26	0	
d51b5e83829dc0c30b1242b70629aefe_26	0	Naganishia albida
55a8ed4f7d2b03fd1353aad259393f49_26	0	
fb358c6c216e936762816a400be53875_26	0	
cc9fbed55521f6b2e24e6ca6b34b09eb_26	0	Saitoella complicata
a32233ebd809090f4075a11baadc361b_26	0	Saitoella complicata
e5d17b120f26799123d0d8f80eaec968_26	0	Saitoella complicata
a0500f76546fc0bd8897c5736c25b461_26	0	Saitoella complicata
f2ffbc500f7d7ac80182970f6b347352_25	0	Naganishia albida
1497a4619382d502da948fa63fc26376_25	0	Naganishia albida
19544c337414b47aa55b31d737ef6b6d_25	0	
8bd1357c5fa5435fa72d4d4ce033e78d_25	0	Saitoella complicata
eb2f71c99d72f63c9e3ed0cd642c990c_24	0	Naganishia albida
42466066f900a727b77924eae276eedc_24	0	
492e02cc64cd49b6fb73047376786e90_24	0	Saitoella complicata
532b0ef3163225da5ec8567f0967e5fb_24	0	Rhizoctonia solani
c1f8623d837d5ddf210a537f84639f69_23	0	Neosartorya fischeri
196d86492d13fc42c0d28e9cd545bebd_23	0	Aspergillus flavus
61bbc4512eaf168bbd597207d2eb15c5_23	0	
9192313990a0bfdce1fd20a3048d728c_23	0	Saitoella complicata
25b1396abebdb8579f43204edc5a60c5_22	0	Naganishia albida
cae4c0d29bb44746f4e246c3507abf06_22	0	
73172f652fc1ce614e5ed92d776762f9_22	0	Candida apicola
abe19ae53473d8b930063acbd2a1a94e_21	0	Naganishia albida
4d2726c05976c2e2dd5defdfe9cb48fc_21	0	Saitoella complicata
bc474035733eed80e3774239fbbbfb47_20	0	Naganishia albida
652f4ef5aaca2b86a2f1d1738a90751b_20	0	Naganishia albida
e5ea5522f5f1f740b9d00a8a561de027_20	0	Naganishia albida
a957a93b5aba132d67682013be93358d_20	0	
edece789536ef2b323123cb2a0f6b9ed_20	0	Saitoella complicata
77eea98287c4b45aa45ffdfe980fe203_19	0	Saitoella complicata
2c78f2b6d9fddfa4758fcce7266bb6e2_18	0	Naganishia albida
7003683ffcaa0c723c39e7770d0034bc_18	0	
8ebcfd2a2573c0b127acc23ca3cd3c52_18	0	Saitoella complicata
60d9af206515013831f64662cc36a1d7_17	0	Naganishia albida
5194a4ae3a27d987892a8fee7b1669b9_17	0	
36789dbe7a942bfa7ddf808607daf8af_17	0	Saitoella complicata
1bdc2c6a2f91838acf081691470e31c1_17	0	Saitoella complicata
17d631f41d60718aa79e4a67bd2bec37_15	0	Naganishia albida
9988aeef322f276213408fd04b39ee8e_15	0	Alternaria alternata
92c84cab8c497f461206da9c96a7af94_15	0	
cd81603b1a4c32a28ac6c7caaefd153d_15	0	
6ae45a9b72a803eb6459d5b46cb7ca09_15	0	Saitoella complicata
8ad690ef547ac81bf60a2905f7928aeb_15	0	Saitoella complicata
b5dc2abdd8b245e99a518d87b4b70f13_14	0	Naganishia albida
bbbf5ab30c27e28097e87587af6527b8_14	0	Naganishia albida
3028a6b1326799dd05166a4d28c0c49f_14	0	Alternaria alternata
f88855678d038d5bc06cc72e61c9af6f_14	0	
aec5b08cfc719f3762cde54d4e091296_14	0	
702929cef71042156acb3a28270d8831_14	0	
e776c988f68bc4bedba6f785c8ec6a96_14	0	Saitoella complicata
a1b9217b48d21090fe3b61532fd2a023_14	0	Saitoella complicata
37a7ddc7933abff47eb3bc2731526d4a_14	0	Naganishia albida
6127c55832ad957eec00b705d6881566_13	0	Naganishia albida
502766a3eeb27cacc61eac1ab8b143b3_13	0	Naganishia albida
f54644aa3288c10336849f16b1598954_13	0	Naganishia albida
650b49dd490e9a1f1a27d0272485f137_13	0	Naganishia albida
25edbbae2bf833e73b1dd802441ad78c_13	0	
1c1018995bafb124bacc4af1ba647cc0_13	0	Alternaria alternata
ce97005b7b0b4d3bdde8c5863eb37d6d_13	0	Alternaria alternata
db5cc1208ea2ad04191d326ae93b80a5_13	0	
7faeafce5f2c51407a9dbb9aec4ea97a_13	0	Alternaria alternata
09f5b4ed657e67e1a9b82a68106bf09d_13	0	
a5573a52c86548e5d004d4af39d5dce6_13	0	
4d7a0b422e1dd11c039cf17cb31e4b96_13	0	Trichoderma reesei
8f6e94e88327150c8455835f9218c5e3_13	0	
ac04c6e98d727d49b42cc458ccf15eda_13	0	
f3b5fdf1d2bb54b2eb880d24c475ed45_13	0	Fusarium oxysporum
c14712ee204cec530bf89845906edc29_13	0	
05d09695f75d10acd7f06fcca7b70513_13	0	Saitoella complicata
b1c99f1be434d32badb8ec779b3090ae_13	0	Saitoella complicata
68c45b0d58837fdc01d4f4019251ccaf_13	0	Saitoella complicata
e21b4d30ffdf6b1eef975f6e7d173645_13	0	Saitoella complicata
4248cfdb13c6fec718fc61d112ddc6fb_13	0	Rhizoctonia solani
f85a4518eae2efec92af63f4bb70cbc6_13	0	Naganishia albida
44e914b3dd04d716fdc533754f3697e0_12	0	Naganishia albida
e8834ee8319ac8f7c2af00429a2f932f_12	0	Naganishia albida
48f105fca57d04e18ac84910507596fb_12	0	Naganishia albida
f0b7c6cbd87e7950298e904b4bb4d87e_12	0	Naganishia albida
67f0a7211050bd3f773065e751a9642f_12	0	Naganishia albida
d42546c9ef7c33c9fb38916850fd929c_12	0	Alternaria alternata
2b9a8e399bc1ae69483456fc7aa03e2c_12	0	
1f86e03751cbaa6645f372b6cecd871f_12	0	
deddd0d7412f998224d606c20ef0075a_12	0	Fusarium graminearum
14c43dae09f0224f1d913a3bbb1d0a25_12	0	
a8d5a9a98577ea0fd795e500cdfdf462_12	0	Saitoella complicata
e3bfd1cd99cbf4b7ce0cb25751d0c50e_12	0	Saitoella complicata
c45b2b7fa7cd2bfe20fe0345c580614e_12	0	Saitoella complicata
73bd76d6f3fe73936a6aa36fac025a54_12	0	Saitoella complicata
98714d6d1601ef94f2f0b077ad70dd29_12	0	
450befe270f018e4246f3997ebe6ae8e_11	0	Naganishia albida
5a20a4af1ff38e322e8b1d82d7d62fc8_11	0	Naganishia albida
28d7ac0385360be255ce31ea96ee2338_11	0	Naganishia albida
cb726627114ee0a57e691975da9a7da3_11	0	Naganishia albida
cd3f6787c4493089e898745074960182_11	0	Naganishia albida
365aed2c53fda83772a1052ec273609c_11	0	Naganishia albida
acb2672d2f0a689981d34600672c99fd_11	0	Naganishia albida
e12897f71c8a504057b579d2b55b525f_11	0	Naganishia albida
7b7b94be881ccea5b1194c319b2818ff_11	0	Naganishia albida
ae609d1bd731dd89b3f36a3d9ab244a0_11	0	Naganishia albida
4ba48aba5b7a2e3822e07adf37cce403_11	0	Alternaria alternata
d64d1be0ae109c6665255e7be3d76865_11	0	Alternaria alternata
6a77c93fe60a505be1f83feb97c9a732_11	0	Fusarium graminearum
8a2a9b4cd5fcdeb4838471173e93cd3a_11	0	Trichoderma reesei
fe030700e9d37ddbe0f8fd2a44cfaa9f_11	0	
5f1c8cb7959b854c14a9a00323ad39c2_11	0	
ba27aacd834ac41556e8ede1da0cb2c6_11	0	
e298071d17abf9a14d93853c7b6a6443_11	0	
1975c81838aa6dbcd564a8760880280b_11	0	Candida apicola
11a141537120f16c8052ecf5ddac4499_11	0	Saitoella complicata
b342d1d5a593fb7dad000967423cb210_11	0	Saitoella complicata
ca30acf52c5e309c19916b53f9a6d1fb_11	0	Saitoella complicata
7d3c027178a547d110c03c34df064647_11	0	Saitoella complicata
5a6aafbbff5e38692c93e67144667535_11	0	Saitoella complicata
c7487024c209eee089bec03ecdd251e6_11	0	Saitoella complicata
26dc839c84d2ed63e053ac9ee519e966_11	0	Saitoella complicata
63085829453fbc0eda4b5f0dce2d4bf1_11	0	Saitoella complicata
dd0d3343a076d18fa0259cbbf5f3ee52_11	0	Saitoella complicata
0c141735728fccea49787f9e78602045_11	0	Saitoella complicata
de40d9b415102f10d8950231248cbfb8_11	0	Saitoella complicata
8bc5defa7387d2662198704a328a2942_11	0	Rhizoctonia solani
ed4c5f3fee93a91c72f5a9d89f9d764c_11	0	Saitoella complicata
c7986b56f777bec9d4cba287d7d36b8e_11	0	Mortierella verticillata
d3b48a8bf0dd486d97bc2939d066a32c_10	0	Naganishia albida
3248ff0b736a9298669e11a465d0e185_10	0	Naganishia albida
8ba450db7169f5424fa03d0f35a02f10_10	0	Naganishia albida
52deb9a27c23aed358cbb9638604f3a2_10	0	Naganishia albida
7469d74c0753d47513f8f2e9305d7b3c_10	0	Naganishia albida
fcb542b80b7a7b82923d2119da41f552_10	0	Naganishia albida
52cea00e21b4c7003362fe139de0fd00_10	0	Naganishia albida
0079ea7277b25f5d59261680345d9384_10	0	Naganishia albida
f4cd57368118d152fb9f4b3bfd12a797_10	0	Naganishia albida
a2e98cdd7fdc9937718a20b786fbbda5_10	0	Naganishia albida
b10de5d9362dd0752748ab8f0ec42a17_10	0	Naganishia albida
357d417f41e36f945f8f7b5166a58a85_10	0	Naganishia albida
5bd173451e457a37d3dc69094cda06ee_10	0	Naganishia albida
9dd447bb5cd471b9944809939533a325_10	0	Naganishia albida
533a63e8468ddddf29689bdc8fb0f0ef_10	0	Trichoderma reesei
e34218e71c1bcb0f92cd8c65e8d81e6f_10	0	Trichoderma reesei
d3d618e3891dc6c161a8d200ef969504_10	0	
10fcc4827f284b3546a8116ace4b5f5d_10	0	
a5e06d0d0a8da3e25365c5db9e57a18a_10	0	
6f0c5578b16d9a70df53dc21cb7113e2_10	0	
3e9fbbeb4c7f52acd056c49033253446_10	0	
2dfbd7a55fadea9969bffb391ae49ced_10	0	
e63760a9e9101ba8a399831dd9e756b2_10	0	Fusarium graminearum
0e3c4f748c928fde985bab154f3195a9_10	0	Claviceps purpurea
eb370c94bcac1a52ccbc2c6a581bbe55_10	0	Trichoderma reesei
231774ff0133830fc36dc7666a667507_10	0	Candida apicola
e5b7a8b5dc0da33108cc8a881eb409f5_10	0	
67728acbb6f265eae2a0b5aa22e53db8_10	0	Saitoella complicata
ba0fdffcaac993d692044769b2b2f723_10	0	Saitoella complicata
db348839fa02a8b5c1f86fd14f7f7a6a_10	0	Saitoella complicata
48ca562195899a6cc4d71520c2462e8a_10	0	Saitoella complicata
deb5d3c4df82533e8701d2063a89b679_10	0	Saitoella complicata
cce1ac069edb7f09945a19f7fb4033f3_10	0	Saitoella complicata
58bc35c1e636ec17fc8f0dc258adadc5_10	0	Saitoella complicata
200476239bb2a13168aafcdadc869529_10	0	Saitoella complicata
7001883800ac5cfe4edcdfc48ef35bdc_10	0	Saitoella complicata
67cd3c7140140d792e192061e11e7f7f_10	0	Saitoella complicata
