#sequence-name	taxid	genus-species
275cb1864803eb66feb2ec7b316f5a2f_203317	0	Naganishia albida
bb28f2b57f8fddefe6e7b5d01eca8aea_171741	0	Fusarium oxysporum
1d95eaf5ba7187e330ebd3ded8a73b1e_66993	0	Saitoella complicata
d51507f661ebee38a85bec35b70b7ee1_50070	0	Fusarium graminearum
8a55ce39dbcae323230ceaf28f3a24e3_37215	0	Alternaria alternata
d436d161d7ce60f0f2479e3336f032fb_33415	0	Fusarium oxysporum
716f6111ac2ee192c23282e07d23078a_27149	0	Mortierella verticillata
57da2fd614b08a484a9faa69a22be412_12094	0	Claviceps purpurea
a9881d80b46e7ce6fd40c8d47b4847b7_11429	0	Aspergillus flavus
66305c10976c425cc62345d57ca376b8_9448	0	Penicillium expansum
30f0b89518a67c58d70f76ef1cb8064f_9225	0	Rhizoctonia solani
69997d3de8466566fbe277c5bdb76de4_9168	0	Candida apicola
ee5382b80607f0f052a3ad3c4e87d0ce_5470	0	
5ff8070db9db78828fafe962f5d8271a_5161	0	Trichoderma reesei
fcbccf9d3636bdcaf122196ed01a0cc2_3350	0	Neosartorya fischeri
9d312f7036a9240095011ad44fe8fa2c_2624	0	Saitoella complicata
cae29429b90fc6539c440a140494aa25_2343	0	
3eec91875b4acf26c9a643cbe5640b50_1732	0	Fusarium graminearum
e055cb2efa2e1e0eb32d201e018b8609_1034	0	
16daa32a5d0835e370dc47c7708a23d4_979	0	Saccharomyces cerevisiae
365aed2c53fda83772a1052ec273609c_953	0	Naganishia albida
1185446720294c60142f560688ebea21_938	0	
dd4fbaf64e359499f44e83869c012a8a_656	0	Naganishia albida
9cdee771250aa36d4e38abd4ddeb1a8a_601	0	
bbbf5ab30c27e28097e87587af6527b8_569	0	Naganishia albida
67f0a7211050bd3f773065e751a9642f_564	0	Naganishia albida
9bc21b584d669693763826dd887d3486_558	0	Rhizophagus irregularis
e3911bb858dd9ba7fcf541b95d2244b3_546	0	Naganishia albida
850eeb2138ad79b6a728b6c0ca75d819_542	0	Rhizophagus irregularis
0e41c694186045ead8611d0212a5d562_537	0	Naganishia albida
223ea3860dcea2de55140575b9263946_523	0	Naganishia albida
8e80cff032642575806938e038ca8f93_501	0	
f2ffbc500f7d7ac80182970f6b347352_499	0	Naganishia albida
90238f53a731d24fc672fc20ad70d216_499	0	Naganishia albida
327c28570c3dfa42fdd01eee025433e8_495	0	Naganishia albida
25b1396abebdb8579f43204edc5a60c5_494	0	Naganishia albida
0925016ce8786a39d20914108ac132dd_492	0	Naganishia albida
2230568eeaf583253879e977a8bfeec5_478	0	Naganishia albida
9bbc0fcdcc407fd5f6139f06343a10cc_473	0	Naganishia albida
4f83ecafa3c0267f0a6774bf0887bf58_471	0	
05592006567c66475359807959141299_460	0	
450befe270f018e4246f3997ebe6ae8e_459	0	Naganishia albida
28d7ac0385360be255ce31ea96ee2338_458	0	Naganishia albida
52cea00e21b4c7003362fe139de0fd00_457	0	Naganishia albida
d045f194a5d9f9768312a28f00da440b_455	0	
b2281a50e5a57ae673f8172dfdb4a7d8_452	0	Naganishia albida
4bed5bbf3414d6fe942922bd30aaf7b2_450	0	Naganishia albida
f9604c2b84d1c68a6583d496cd96e420_450	0	
cde90cedf36ca1755cff9938f38c6711_449	0	Naganishia albida
63b39a49acc59d6932e6867f9e4616db_440	0	Naganishia albida
1e6cfe379d0cf6f34afc09966da98b62_438	0	
f0b7c6cbd87e7950298e904b4bb4d87e_433	0	Naganishia albida
5f3f70c499e3035461b006be54588829_432	0	
fe43b856b6a978495ccee092f5e972e4_431	0	
ea105691522ea518b2e887f60589c5fc_428	0	Naganishia albida
7776eb092f4ceed1a8136f2daa5dfeae_428	0	Fusarium graminearum
8bf8d2929f38a76b85d8aa493793d415_427	0	
4be7bd1f0ebd9c61f7d1e0263ddcd53e_425	0	Claviceps purpurea
8e72525ad7dfd6a5afc6ffa0ae7b76c2_424	0	Naganishia albida
93dc1dd264510412a9b5215ff05619b4_420	0	Naganishia albida
90eab32bdf3ccee2f47dc1bf6420df0e_419	0	
179451cf8cc07ebab483c35427066968_418	0	Naganishia albida
85ba7353bd1b8b252ddb286785995435_416	0	Naganishia albida
333afdf03756226c0d0b8c936105504f_413	0	Naganishia albida
6d675a96c5e6317cbf44f9559bca3dc4_413	0	Naganishia albida
9f78cde9cad43bd4f9f4f3715e992bee_411	0	
bdae804fa6e59392ab6fbd9061126a87_410	0	Naganishia albida
119d09645dbdeb1416e12e93fd020198_409	0	
0a1a310844d6af57fd1d9936fa6035e6_408	0	Naganishia albida
4fd51770885803ac55076f17e2d3ccbb_400	0	Naganishia albida
bc9b16e86a5340b2fad0e5c56218f90d_400	0	
bc70dd13ccdcbe573058c8c565f8b524_399	0	Naganishia albida
4b75ac9cbe1f2f45ca0e18904ebb8a94_399	0	Naganishia albida
1497a4619382d502da948fa63fc26376_397	0	Naganishia albida
8cf88c09dfcee868fef91fb52474a6b3_397	0	
eb2f71c99d72f63c9e3ed0cd642c990c_396	0	Naganishia albida
f8632dc7460c4b42a7f9f9fd0b6391e0_396	0	Naganishia albida
28d9a7e0211bd515a16fefe5bdc40812_393	0	Naganishia albida
b10de5d9362dd0752748ab8f0ec42a17_388	0	Naganishia albida
e37920908df04699864ef99fcb57fb42_387	0	Naganishia albida
acb2672d2f0a689981d34600672c99fd_385	0	Naganishia albida
2bc78458ea5b0dd89dd5cc815d26000f_385	0	
7368bc7e76df29e9a7d9220a498d64c3_384	0	
afd53af909ca7c2235a79afdbc71983c_381	0	Naganishia albida
38b9427f70b0ce579491b47b6f6d5b5c_378	0	Naganishia albida
52d7e4398b3ec17d5a9a27880929b8c8_377	0	
61982cb7a73c133282522c6090a3da82_376	0	
8e74f38b058222c58943fc6211d277fe_376	0	
7b96244c6bef45f87c621a5fbda9c4fc_375	0	Naganishia albida
8feb681bc12bf1c597cefe163925812c_375	0	
78b5cf992af1840f7c8cb235c61bf6e7_374	0	
3d2d3b6e90fd3b437984bd1ef5ea7ddc_373	0	Naganishia albida
24dfaacd50d5f99c2ca20e6b49ce63ba_373	0	Naganishia albida
f90705d032afc0bc2ce91f1f6e62b5d3_371	0	
5534786af4433cae79361966f87c3623_370	0	
6127c55832ad957eec00b705d6881566_368	0	Naganishia albida
2c81edc22d20fc1bfd32fbdae0a16a73_365	0	
320ce4ef7fa51328fc732858435391dc_365	0	
d3b48a8bf0dd486d97bc2939d066a32c_364	0	Naganishia albida
443a653e1eafec3f65331dd8690fbb65_363	0	Naganishia albida
114ec80c7a954d84357c73d6d5c25cc0_360	0	Naganishia albida
1b6fc38019cf5323c09e9a846ca436ee_358	0	
c85ea7c2bca0f9c6c992345990d00353_352	0	
97c1849279bf11cc52f98a5a34b9cf47_351	0	
dd3d55da2a1a68f5e9e57601a74e28c0_345	0	Naganishia albida
b0c39d8e939fa6cd9b1d4473233c0d61_345	0	Naganishia albida
b5dc2abdd8b245e99a518d87b4b70f13_344	0	Naganishia albida
1f196d40a670355f8f07d6809d5e92bd_343	0	Naganishia albida
c8d174dbc50cf344915df7bf712bfd57_343	0	Naganishia albida
8d8b0320cbec2e349c5c12d49aa8b0d0_343	0	
38dc930cf5505c742d6802813df601af_340	0	
25c02688248d0b8833aadf6f89cba8f0_339	0	Naganishia albida
ed584ccfc6db2d4faddbddafc8f1f696_338	0	Naganishia albida
4d6c17e11d60bcd902a81980e0fef4f5_336	0	Naganishia albida
bd6168345012b69675799668a237f675_332	0	
b7afddc0e778cfa88708fb0ab49d13cd_332	0	
4f6ebfee0a6cf4fb8c76ea3f46f07c71_329	0	
c9cb20e11645d0ff31df50f67a1a2a43_328	0	
f3c09b2250c2e459857a93723ebbc0ad_323	0	
87fb4f961be681e8fcaf3dc7e2402fc3_320	0	
4daf00cbffa80561053f41ac1b6a606c_319	0	Naganishia albida
ed99cb79a4f8d787a1c3470cd5d20ae2_318	0	
7a78ca4c0ddbc40db182d04d69e2bef2_312	0	Naganishia albida
a6aa2eabb00c6d71eb407cbc674d5f98_312	0	Naganishia albida
a382797e81cbce2fa3455275f11577ed_311	0	
3aed24b578d6335116496d97031401b8_310	0	Naganishia albida
d5b772de7a297cf32266f8bd8e2db196_308	0	Naganishia albida
5a20a4af1ff38e322e8b1d82d7d62fc8_307	0	Naganishia albida
a0aa9940a09955cc4d0d8e370d08bcc3_306	0	Naganishia albida
3906832858baef9fb69cd7823c95ec06_304	0	Naganishia albida
912e24d742206c2394dc4e8ae9afd425_304	0	
723796651d160376f6f232c5cc52d5e2_303	0	
0079ea7277b25f5d59261680345d9384_302	0	Naganishia albida
ecd07390b47943277f9b228e8f8bc939_299	0	
00afc67ef904be07878d485ee4f51655_292	0	Naganishia albida
a2a72c845739bfdc4960d9864495b32b_291	0	Naganishia albida
b8e94c97ff78b0a11ba19b14623c331c_285	0	
d17a3c05ef8aaee2e9b1baacc26eda77_284	0	Naganishia albida
7351c6f36f950a9cb27989b51f29dc34_283	0	Naganishia albida
85d4ffb6e982231f3cd91be7c9bed6e1_282	0	
3e9fbbeb4c7f52acd056c49033253446_281	0	
05a9c1e4c6be24e01740f491c62b380b_280	0	Naganishia albida
35b86a1bdf3c2379d9f9c040be9d5c5e_279	0	
168e6548c054dba13d9f919f068ce998_279	0	
27af37203b080c672e76b69894a4c213_274	0	Naganishia albida
7573577542c722feb768594719fb1373_273	0	Naganishia albida
ce813961771bf6302ac86fb7b59a3401_271	0	
