Source	Site	Process	Period	Year-Month	Sample	Accession
Runoff	I	Filtration	20	2016-02	OSU505	SRR6303684
Runoff	I	Leaf baiting	20	2016-02	OSU513	SRR6303685
Reservoir	J	Filtration	20	2016-02	OSU506	SRR6303686
Reservoir	K	Filtration	20	2016-02	OSU507	SRR6303687
Runoff	H	Leaf baiting	12	2015-10	OSU390	SRR6303688
Runoff	I	Filtration	12	2015-10	OSU382	SRR6303689
Reservoir	C	Leaf baiting	12	2015-10	OSU389	SRR6303690
Runoff	H	Filtration	12	2015-10	OSU381	SRR6303691
Reservoir	K	Filtration	12	2015-10	OSU384	SRR6303692
Reservoir	K	Leaf baiting	12	2015-10	OSU392	SRR6303693
Runoff	I	Leaf baiting	12	2015-10	OSU391	SRR6303694
Reservoir	J	Filtration	12	2015-10	OSU383	SRR6303695
Reservoir	L	Filtration	19	2016-01	OSU495	SRR6303696
Reservoir	K	Filtration	19	2016-01	OSU494	SRR6303697
Reservoir	L	Filtration	12	2015-10	OSU385	SRR6303698
River	M	Filtration	12	2015-10	OSU386	SRR6303699
Runoff	H	Filtration	19	2016-01	OSU491	SRR6303700
Reservoir	G	Filtration	19	2016-01	OSU490	SRR6303701
Reservoir	J	Filtration	19	2016-01	OSU493	SRR6303702
Runoff	I	Filtration	19	2016-01	OSU492	SRR6303703
Runoff	H	Leaf baiting	14	2015-10	OSU419	SRR6303704
Runoff	I	Filtration	14	2015-10	OSU410	SRR6303705
Reservoir	C	Filtration	14	2015-10	OSU407	SRR6303706
Reservoir	G	Filtration	14	2015-10	OSU408	SRR6303707
Reservoir	G	Leaf baiting	14	2015-10	OSU418	SRR6303708
Runoff	H	Filtration	14	2015-10	OSU409	SRR6303709
River	A	Filtration	14	2015-10	OSU405	SRR6303710
River	A	Leaf baiting	14	2015-10	OSU415	SRR6303711
Runoff	B	Filtration	14	2015-10	OSU406	SRR6303712
Runoff	B	Leaf baiting	14	2015-10	OSU416	SRR6303713
River	M	Filtration	02	2015-05	OSU108	SRR6303714
River	M	Leaf baiting	02	2015-05	OSU126	SRR6303715
Reservoir	K	Leaf baiting	02	2015-05	OSU124	SRR6303716
Reservoir	L	Filtration	02	2015-05	OSU107	SRR6303717
Runoff	D	Filtration	03	2015-05	OSU134	SRR6303718
Runoff	F	Filtration	03	2015-05	OSU136	SRR6303719
Runoff	B	Filtration	03	2015-05	OSU132	SRR6303720
Reservoir	C	Filtration	03	2015-05	OSU133	SRR6303721
Reservoir	G	Filtration	03	2015-05	OSU137	SRR6303722
Runoff	H	Filtration	03	2015-05	OSU138	SRR6303723
Runoff	B	Filtration	04	2015-06	OSU162	SRR6303724
River	A	Leaf baiting	04	2015-06	OSU185	SRR6303725
River	A	Leaf baiting	04	2015-06	OSU173	SRR6303726
River	M	Filtration	03	2015-05	OSU143	SRR6303727
Reservoir	L	Filtration	03	2015-05	OSU142	SRR6303728
