#sequence-name	taxid	genus-species
df17bff2b69de433e80396d28a0148b6_108	2675548;658425	Phytophthora caryae;Phytophthora pini
a540a09c55464afde2058ba4e17c5b40_108	544909	Phytophthora parsiana
58224626722862b9287087fe5c2c0e47_108	0	
771a4d48e6c4a21e14c3111f3378f350_107	0	
cab2875a481e358a4993910872ec53a6_107	180902	Phytophthora uliginosa
dca2b679f05e2ea0bfe21dfaa922a679_107	0	
ac4ee20f31b6feb0c8c4557fdbfbecd1_107	2675548;658425	Phytophthora caryae;Phytophthora pini
5c9f603bcc67bd81920f4a52d3e71839_107	1448052	Globisporangium
c02cde1026ba0940a9f0058493ff5a54_107	0	
8f57c914922e5b4f06225f5e475d39a7_107	4783	Phytophthora
9ab02c5e18ca608b51bf1b9df77e84b2_107	0	
93ce9f6a3522e3aa3a68902b5c1ff30e_106	1396423	Phytophthora mississippiae
197f24f239fb4910ce3486c36c5705c9_106	2675548;658425	Phytophthora caryae;Phytophthora pini
b2e821dd15f710e0305e9aae1d321362_106	0	
0417c4a7b067041058e5b51d8bcb1398_106	544909	Phytophthora parsiana
f2b557175ceb5e2ab062c1e76e1e043c_105	4783	Phytophthora
baf0e8dae787627892f6f58be74a4741_105	0	
c0403ccc9f4de0b6da58c1ffb65e45dc_105	0	
7227959068bc89d336ba940f3f953c5c_105	0	
476f3db6bfeeb9e77f503f6c3cb67a0e_105	544909	Phytophthora parsiana
99f008b30980a57cba3b3c7abb613bd4_105	544909	Phytophthora parsiana
eb05c4a5d464f004866de9f6007d5276_104	0	
d65341530e86ca886292b01c50c3abe4_104	4793	Phytophthora citrophthora
31926328e2db7686d1d6f916aea09b0a_104	0	
b5e83f787ac170d40fd3b04f000cead1_104	4783	Phytophthora
49b6877bdeb87163d208650f115f1383_104	0	
38f5b07e66c6003bd92132bb7c944ddf_104	544909	Phytophthora parsiana
2cc46c41d100b0eff12d243be2bcbf9d_104	0	
65b7a978086982c694a52269d9afe915_104	0	
3c5d17594f8cf850dbeacfa51e6fdade_104	0	
2bf3b87af18e0a516f43f17a20b1364e_104	544909	Phytophthora parsiana
3e46cbc465051c807f8a76621bf027f2_103	0	
a53369894e251c027e70e4dcbd380315_103	0	
81da885f88c517f04b3beb50f1dc4a78_103	544909	Phytophthora parsiana
e451c2765dd039236f740e6930de58e0_103	544909	Phytophthora parsiana
8f1bd0390626cc0082bf9f2501de148a_103	544909	Phytophthora parsiana
5cebe7f3a15b3fb3b218e59bfdb86c8b_102	0	
