#sequence-name	taxid	genus-species
60f3f3d23c0340e2a0b7885f2bc7982c_244755	0	Brassica oleracea
dd56af6ddcaca8b2802f5bea9ec2d62b_18149	0	Lactuca sativa
8bebde4f2514ec7e3b1c5461753e6752_3602	0	Cullen corylifolium
177099d55a8790f71110620c2165e462_3571	0	Epimedium dolichostemon;Epimedium myrianthum
e249ee5393340c16f0c6c1ddbce40319_1033	0	Melilotus albus
779d09e7efb1679bc5bbe29c561f8dcf_867	0	Brassica napus
4b939aebd90f008bc45a84587e33b504_214	0	Epimedium dolichostemon;Epimedium myrianthum
4edd9700202f16aa9da426602532bdd8_203	0	Melilotus officinalis
