Caption	Genus	Expected	COI	18S	12S
250 Pool 4	Metopolophium	0.316	0.3314204010008774	0.4167667753561009	0.02335496128332704
250 Pool 4	Rhopalosiphum	0.16	0.2390569655217236	0.18208340483954008	0.0058380685062740766
500 Pool 4	Acizzia	0.516	0.48022067313860495	0.9201807340468872	0.9784271819739184
500 Pool 4	Bactericera	0.002	0.0006628747380575632	0.0	0.0
500 Pool 4	Diuraphis	0.01	0.006821194885172989	0.0007703418391911411	0.0
500 Pool 4	Metopolophium	0.314	0.2561690116751486	0.02871745490907744	0.016790638758530638
500 Pool 4	Rhopalosiphum	0.158	0.2561262455630159	0.05033146920484426	0.004782179267550933
1000 Pool 4	Acizzia	0.518	0.10328561524480503	0.8246669089814336	0.9170535910074652
1000 Pool 4	Bactericera	0.001	0.005705559407146471	0.0003010577406717993	0.004566819529588986
1000 Pool 4	Diuraphis	0.005	0.0019346437070209296	0.0011932166551016437	0.0
1000 Pool 4	Metopolophium	0.317	0.5062957896906444	0.04126693908720762	0.06749406504142554
1000 Pool 4	Rhopalosiphum	0.159	0.38277839195038316	0.1325718775355854	0.010885524421520304
100 Pool 5	Acizzia	0.5	0.2567543874158493	0.732233877413899	0.9328439672763584
100 Pool 5	Bactericera	0.0	0.0	0.0	0.0
100 Pool 5	Diuraphis	0.0	0.0	0.000728369032586912	0.0
100 Pool 5	Metopolophium	0.25	0.44361446978844465	0.18777295738099928	0.05985895837597455
100 Pool 5	Rhopalosiphum	0.25	0.299631142795706	0.07926479617251486	0.007297074347666983
250 Pool 5	Acizzia	0.5	0.18000250418166233	0.5172304773948783	0.8603764850272647
250 Pool 5	Bactericera	0.0	0.0	0.0	0.0
250 Pool 5	Diuraphis	0.0	0.0	0.0	0.0
250 Pool 5	Metopolophium	0.252	0.5712295210913095	0.3919696490673411	0.1265630803516157
250 Pool 5	Rhopalosiphum	0.248	0.24876797472702813	0.09079987353778059	0.01306043462111955
500 Pool 5	Acizzia	0.5	0.07316667636569206	0.7063486850747445	0.9240408937075386
500 Pool 5	Bactericera	0.0	0.0	0.0	0.0
500 Pool 5	Diuraphis	0.0	0.0	0.0	0.0
500 Pool 5	Metopolophium	0.25	0.31002103302933814	0.03312271759976881	0.04740089612133342
500 Pool 5	Rhopalosiphum	0.25	0.6168122906049698	0.26052859732548667	0.028558210171127998
1000 Pool 5	Acizzia	0.5	0.17268230451684338	0.9129528856171302	0.9624920051600594
1000 Pool 5	Bactericera	0.0	0.0	0.0	0.0
1000 Pool 5	Diuraphis	0.0	0.0	0.0001665846964192223	0.0
1000 Pool 5	Metopolophium	0.25	0.29280249692097227	0.02323195464665535	0.026164536516092664
1000 Pool 5	Rhopalosiphum	0.25	0.5345151985621843	0.06364857503979524	0.01134345832384793
