Caption	Genus	Expected	COI	18S	12S
500 Pool 4	Rhopalosiphum	0.158	0.262451620615969	0.0694327044703823	0.00689223348252592
1000 Pool 4	Acizzia	0.518	0.138533887788204	0.799053966759036	0.904131005551013
1000 Pool 4	Bactericera	0.001	0.00786324414157468	0.000434680238349664	0.00680214809001598
1000 Pool 4	Diuraphis	0.005	0.00320045285319283	0.00145798996613116	0
1000 Pool 4	Metopolophium	0.317	0.484973837567946	0.0554126745512832	0.0744579441940348
1000 Pool 4	Rhopalosiphum	0.159	0.365428577649082	0.1436406884852	0.0146089021649362
100 Pool 5	Acizzia	0.5	0.271484574008827	0.714815869969412	0.918571345218457
100 Pool 5	Bactericera	0	0	0	0
100 Pool 5	Diuraphis	0	0	0	0
100 Pool 5	Metopolophium	0.25	0.431745418858697	0.194112487254843	0.072228381080694
100 Pool 5	Rhopalosiphum	0.25	0.296770007132476	0.0910716427757452	0.00920027370084921
250 Pool 5	Acizzia	0.5	0.203762953580047	0.467320119703344	0.857794877146283
250 Pool 5	Bactericera	0	0	0	0
250 Pool 5	Diuraphis	0	0	0	0
250 Pool 5	Metopolophium	0.252	0.5448857245815	0.423472264388255	0.127010710674921
250 Pool 5	Rhopalosiphum	0.248	0.251351321838453	0.109207615908401	0.0151944121787952
500 Pool 5	Acizzia	0.5	0.102342289989632	0.686702847965064	0.899212312066586
500 Pool 5	Bactericera	0	0	0	0
500 Pool 5	Diuraphis	0	0	0	0
500 Pool 5	Metopolophium	0.25	0.308149478647323	0.0450079255938947	0.0646805028639441
500 Pool 5	Rhopalosiphum	0.25	0.589508231363045	0.268289226441041	0.0361071850694703
1000 Pool 5	Acizzia	0.5	0.204134096297213	0.890062606613527	0.946309989255656
1000 Pool 5	Bactericera	0	0	0	0
1000 Pool 5	Diuraphis	0	0	0	0
1000 Pool 5	Metopolophium	0.25	0.289478778876945	0.0325072801004586	0.0373906912194831
1000 Pool 5	Rhopalosiphum	0.25	0.506387124825842	0.0774301132860146	0.0162993195248612
