#sequence-name	taxid	genus-species
e11e4047d5af23fae25a236a3e8c2655_4352	0	
b4d5223ef5e511f2e5d23ceb2cce896d_4317	0	
3b056bbe57dbc876f77f04de7c284050_4286	0	
b1b26a6c0b6b3d38135b21e6357e8e52_4138	0	
49fb9c7a7c95be616553221465fb7e13_4100	0	
2d215215a306cab900b073561dbf9b2f_4073	0	
42f9a3a6220f069dbbbcf34e1115c586_4020	0	
e57f36d0c8329ffaf982caab3255fda8_4016	0	
748e72060122191414cbd60bffedfc7d_3977	0	
05b28c147296fcbf5697c53b200dc7f0_3968	0	
ae12f64b3992effc90fea1cdb516d952_3939	0	
fa2ee8ea4c4cde18cfb98fdfa77173ad_3892	0	
a6eb86f30242614fb8443557383d957f_3854	0	
41eed30d7908ab1990ecd680d92fafba_3849	0	
bcacd2303814de80d760d4c64e1f7742_3776	0	
b6d50824e18241d194d60d46a051a3e2_3758	0	
8d433a7c2744f4eee26de4419675f19c_3752	0	
6e3bd8d0179d0a7c42ac8c9e92307266_3717	0	
e5110aef4f472dfbe92157cab0c0a78e_3511	0	
acb53600386f5829aba34eacc1e953d8_3465	0	
8f9d33dcfedcd174a67b578ea4a90949_3453	0	
0673e10230c0dc5313e7a87e5f02f3f3_3421	0	Xiphinema bakeri;Xiphinema diversicaudatum;Xiphinema japonicum;Xiphinema sp.
6355fe5b96dd4290dd58685f96a60be8_3306	0	Xiphinema diversicaudatum
a392c1dc7867947832d64606f1b87fa9_2629	0	Fungi
b20d4c1c2ecb3ff9d5298b3e7295be3e_1375	0	Cercomonas sp.
f5e31d1935b552f7f5654eea8e088f3f_1369	0	
99429e1400c3f5097e6f4e1c1dadc44f_1299	0	
08666dac21afd5ac9a06af375c067442_1260	0	
1d8ba2cf528e61b86c02f32530310f40_1259	0	
f0a98c069c5562d391606e7c8b6cd002_1102	0	
